Report to Congress,,,,,,,,
Number of Service-Wide Forms,,,,,,,,
"By Month, Form Status, and Processing Time",,,,,,,,
For the Month of February 2026,,,,,,,,
Form Number,Description,Forms Received,Approvals,Denials,Pending,Pending Over 6 Months,Avg. Processing Time,
I-130,Petition for Alien Relative,"50,534","42,813","6,669","2,357,158","2,020,098",14.8,
I-360,"Petition for Amerasian, Widow(er), or Special Immigrant","17,369","4,485",445,"269,317","217,358",8.7,
I-485,Application to Register Permanent Residence or Adjust Status (Asylum),"3,722",370,61,"113,718","88,981",26.1,
I-485,Application to Register Permanent Residence or Adjust Status (Cuban),"4,813",10,21,"348,318","302,719",23.8,
I-485,Application to Register Permanent Residence or Adjust Status (Employment),"13,391","12,239",919,"217,117","130,197",9,
I-485,Application to Register Permanent Residence or Adjust Status (Family),"36,702","21,670","3,885","554,391","404,808",9.2,
I-485,Application to Register Permanent Residence or Adjust Status (Other),"4,324",856,211,"58,340","44,931",22.9,
I-485,Application to Register Permanent Residence or Adjust Status (Refugee),"7,729",2,7,"125,531","78,494",87.6,
I-751,Petition to Remove Conditions on Residence,"13,153","5,318",225,"289,491","217,999",26.3,
I-765,Application for Employment Authorization,"209,279","102,530","12,031","1,775,015","1,175,147",4.8,
N-400,Application for Naturalization,"44,508","23,626","4,462","647,193","234,728",7.9,
Notes,,,,,,,,
"1) ""Forms Received"" are the number of new applications or petitions received and entered into a case-tracking system during the reporting period.",,,,,,,,
"2) ""Approvals"" are the number of applications or petitions approved during the reporting period.",,,,,,,,
"3) ""Denials"" are the number of applications or petitions that were denied during the reporting period.",,,,,,,,
"4) ""Pending"" is the number of applications or petitions awaiting a decision as of the end of the reporting period. Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices; thus, the total pending counts cannot be calculated using data from previous reporting periods.",,,,,,,,
"5) ""Pending Over Six Months"" is the number of applications pending a decision more than six months after receipt, as of the end of the reporting period.",,,,,,,,
"6) ""Avg. Processing Time"" is the number of months it took for an application, petition, or request to be processed from receipt to completion; the average processing time is calculated using all applications and petitions completed in the reporting period and may differ from processing times reported on other USCIS.gov webpages. ",,,,,,,,
"7) This report is produced in response to direction set forth in the Consolidated Appropriations Act, 2022, Joint Explanatory Statement (H. R. 2471 / P.L. 117-103).",,,,,,,,
"8) Some applications or petitions approved, denied, or pending a decision may have been received in previous reporting periods.",,,,,,,,
9) The report reflects the most up-to-date estimate available at the time the database is queried and may differ from other published reports.,,,,,,,,
"10) Forms received, completed (approved and denied), and pending counts may differ from counts reported in previously published reports due to processing delays and the time at which the data are queried, system updates, and post-adjudicative outcomes.",,,,,,,,
"11) For a complete list of USCIS forms and descriptions, visit https://www.uscis.gov/forms.",,,,,,,,
Source:,,,,,,,,
"ELIS, CLAIMS3, queried March 2026",,,,,,,,
