bulletin_month,category,country,final_action_date,date_of_filing,source
2015-10,EB-1,India,C,C,travel.state.gov
2015-11,EB-1,India,C,C,travel.state.gov
2015-12,EB-1,India,C,C,travel.state.gov
2016-01,EB-1,India,C,C,travel.state.gov
2016-02,EB-1,India,C,C,travel.state.gov
2016-03,EB-1,India,C,C,travel.state.gov
2016-04,EB-1,India,C,C,travel.state.gov
2016-05,EB-1,India,C,C,travel.state.gov
2016-06,EB-1,India,C,C,travel.state.gov
2016-07,EB-1,India,C,C,travel.state.gov
2016-08,EB-1,India,2010-01-01,C,travel.state.gov
2016-09,EB-1,India,2010-01-01,C,travel.state.gov
2016-10,EB-1,India,C,C,travel.state.gov
2016-11,EB-1,India,C,C,travel.state.gov
2016-12,EB-1,India,C,C,travel.state.gov
2017-01,EB-1,India,C,C,travel.state.gov
2017-02,EB-1,India,C,C,travel.state.gov
2017-03,EB-1,India,C,C,travel.state.gov
2017-04,EB-1,India,C,C,travel.state.gov
2017-05,EB-1,India,C,C,travel.state.gov
2017-06,EB-1,India,2012-01-01,C,travel.state.gov
2017-07,EB-1,India,2012-01-01,C,travel.state.gov
2017-08,EB-1,India,2012-01-01,C,travel.state.gov
2017-09,EB-1,India,2012-01-01,C,travel.state.gov
2017-10,EB-1,India,2017-10-01,C,travel.state.gov
2017-11,EB-1,India,2017-11-01,C,travel.state.gov
2017-12,EB-1,India,2017-12-01,C,travel.state.gov
2018-01,EB-1,India,2018-01-01,C,travel.state.gov
2018-02,EB-1,India,2018-02-01,C,travel.state.gov
2018-03,EB-1,India,2018-03-01,C,travel.state.gov
2018-04,EB-1,India,2012-01-01,C,travel.state.gov
2018-05,EB-1,India,2012-01-01,C,travel.state.gov
2018-06,EB-1,India,2012-01-01,C,travel.state.gov
2018-07,EB-1,India,2012-01-01,C,travel.state.gov
2018-08,EB-1,India,2012-01-01,C,travel.state.gov
2018-09,EB-1,India,2012-01-01,C,travel.state.gov
2018-10,EB-1,India,2016-06-01,C,travel.state.gov
2018-11,EB-1,India,2016-06-01,C,travel.state.gov
2018-12,EB-1,India,2016-09-01,C,travel.state.gov
2019-01,EB-1,India,2016-12-15,2018-06-01,travel.state.gov
2019-02,EB-1,India,2017-02-08,2018-06-01,travel.state.gov
2019-03,EB-1,India,2017-02-22,2018-06-01,travel.state.gov
2019-04,EB-1,India,2017-02-22,2018-06-01,travel.state.gov
2019-05,EB-1,India,2017-02-22,2018-06-01,travel.state.gov
2019-06,EB-1,India,2015-01-01,2018-09-01,travel.state.gov
2019-07,EB-1,India,2015-01-01,2018-09-01,travel.state.gov
2019-08,EB-1,India,2015-01-01,2018-09-01,travel.state.gov
2019-09,EB-1,India,2015-01-01,2018-09-01,travel.state.gov
2019-10,EB-1,India,2015-01-01,2019-07-01,travel.state.gov
2019-11,EB-1,India,2015-01-01,2019-07-01,travel.state.gov
2019-12,EB-1,India,2015-01-01,2019-07-01,travel.state.gov
2020-01,EB-1,India,2015-01-01,C,travel.state.gov
2020-02,EB-1,India,2015-01-01,C,travel.state.gov
2020-03,EB-1,India,2015-03-01,C,travel.state.gov
2020-04,EB-1,India,2015-05-01,C,travel.state.gov
2020-05,EB-1,India,2015-08-01,C,travel.state.gov
2020-06,EB-1,India,2016-06-08,C,travel.state.gov
2020-07,EB-1,India,2017-05-08,C,travel.state.gov
2020-08,EB-1,India,2018-02-08,C,travel.state.gov
2020-09,EB-1,India,2018-03-01,C,travel.state.gov
2020-10,EB-1,India,2018-06-01,C,travel.state.gov
2020-11,EB-1,India,2018-12-01,C,travel.state.gov
2020-12,EB-1,India,2019-04-01,C,travel.state.gov
2021-01,EB-1,India,2019-09-01,C,travel.state.gov
2021-02,EB-1,India,2020-01-01,C,travel.state.gov
2021-03,EB-1,India,2020-08-01,C,travel.state.gov
2021-04,EB-1,India,C,C,travel.state.gov
2021-05,EB-1,India,C,C,travel.state.gov
2021-06,EB-1,India,C,C,travel.state.gov
2021-07,EB-1,India,C,C,travel.state.gov
2021-08,EB-1,India,C,C,travel.state.gov
2021-09,EB-1,India,C,C,travel.state.gov
2021-10,EB-1,India,C,C,travel.state.gov
2021-11,EB-1,India,C,C,travel.state.gov
2021-12,EB-1,India,C,C,travel.state.gov
2022-01,EB-1,India,C,C,travel.state.gov
2022-02,EB-1,India,C,C,travel.state.gov
2022-03,EB-1,India,C,C,travel.state.gov
2022-04,EB-1,India,C,C,travel.state.gov
2022-05,EB-1,India,C,C,travel.state.gov
2022-06,EB-1,India,C,C,travel.state.gov
2022-07,EB-1,India,C,C,travel.state.gov
2022-08,EB-1,India,C,C,travel.state.gov
2022-09,EB-1,India,C,C,travel.state.gov
2022-10,EB-1,India,C,C,travel.state.gov
2022-11,EB-1,India,C,C,travel.state.gov
2022-12,EB-1,India,C,C,travel.state.gov
2023-01,EB-1,India,2022-02-01,2022-06-01,travel.state.gov
2023-02,EB-1,India,2022-02-01,2022-06-01,travel.state.gov
2023-03,EB-1,India,2022-02-01,2022-06-01,travel.state.gov
2023-04,EB-1,India,2022-02-01,2022-06-01,travel.state.gov
2023-05,EB-1,India,2022-02-01,2022-06-01,travel.state.gov
2023-06,EB-1,India,2022-02-01,2022-06-01,travel.state.gov
2023-07,EB-1,India,2022-02-01,2022-06-01,travel.state.gov
2023-08,EB-1,India,2012-01-01,2022-06-01,travel.state.gov
2023-09,EB-1,India,2012-01-01,2022-06-01,travel.state.gov
2023-10,EB-1,India,2017-01-01,2019-07-01,travel.state.gov
2023-11,EB-1,India,2017-01-01,2019-07-01,travel.state.gov
2023-12,EB-1,India,2017-01-01,2019-07-01,travel.state.gov
2024-01,EB-1,India,2020-09-01,2021-01-01,travel.state.gov
2024-02,EB-1,India,2020-09-01,2021-01-01,travel.state.gov
2024-03,EB-1,India,2020-10-01,2021-01-01,travel.state.gov
2024-04,EB-1,India,2021-03-01,2021-04-01,travel.state.gov
2024-05,EB-1,India,2021-03-01,2021-04-01,travel.state.gov
2024-06,EB-1,India,2021-03-01,2021-04-01,travel.state.gov
2024-07,EB-1,India,2022-02-01,2022-02-08,travel.state.gov
2024-08,EB-1,India,2022-02-01,2022-02-08,travel.state.gov
2024-09,EB-1,India,2022-02-01,2022-02-08,travel.state.gov
2024-10,EB-1,India,2022-02-01,2022-04-15,travel.state.gov
2024-11,EB-1,India,2022-02-01,2022-04-15,travel.state.gov
2024-12,EB-1,India,2022-02-01,2022-04-15,travel.state.gov
2025-01,EB-1,India,2022-02-01,2022-04-15,travel.state.gov
2025-02,EB-1,India,2022-02-01,2022-04-15,travel.state.gov
2025-03,EB-1,India,2022-02-01,2022-04-15,travel.state.gov
2025-04,EB-1,India,2022-02-15,2022-04-15,travel.state.gov
2025-05,EB-1,India,2022-02-15,2022-04-15,travel.state.gov
2025-06,EB-1,India,2022-02-15,2022-04-15,travel.state.gov
2025-07,EB-1,India,2022-02-15,2022-04-15,travel.state.gov
2025-08,EB-1,India,2022-02-15,2022-04-15,travel.state.gov
2025-09,EB-1,India,2022-02-15,2022-04-15,travel.state.gov
2025-10,EB-1,India,2022-02-15,2023-04-15,travel.state.gov
2025-11,EB-1,India,2022-02-15,2023-04-15,travel.state.gov
2025-12,EB-1,India,2022-03-15,2023-04-15,travel.state.gov
2026-01,EB-1,India,2023-02-01,2023-08-01,travel.state.gov
2026-02,EB-1,India,2023-02-01,2023-08-01,travel.state.gov
2026-03,EB-1,India,2023-03-01,2023-12-01,travel.state.gov
2026-04,EB-1,India,2023-04-01,2023-12-01,travel.state.gov
2026-05,EB-1,India,2023-04-01,2023-12-01,travel.state.gov
2026-06,EB-1,India,2022-12-15,2023-12-01,travel.state.gov
2026-07,EB-1,India,2022-10-15,2023-12-01,travel.state.gov
